GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US25025000100,25025000100,"Census Tract 1, Suffolk County, Massachusetts",1434,117,366,97,1068,129
1400000US25025000201,25025000201,"Census Tract 2.01, Suffolk County, Massachusetts",1328,123,434,87,894,121
1400000US25025000202,25025000202,"Census Tract 2.02, Suffolk County, Massachusetts",1326,87,350,90,976,111
1400000US25025000301,25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",1031,91,488,87,543,97
1400000US25025000302,25025000302,"Census Tract 3.02, Suffolk County, Massachusetts",1133,118,589,112,544,111
1400000US25025000401,25025000401,"Census Tract 4.01, Suffolk County, Massachusetts",2577,159,361,82,2216,173
1400000US25025000402,25025000402,"Census Tract 4.02, Suffolk County, Massachusetts",1376,91,526,119,850,132
1400000US25025000502,25025000502,"Census Tract 5.02, Suffolk County, Massachusetts",1629,121,280,77,1349,123
1400000US25025000503,25025000503,"Census Tract 5.03, Suffolk County, Massachusetts",1166,107,280,79,886,106
1400000US25025000504,25025000504,"Census Tract 5.04, Suffolk County, Massachusetts",2520,143,374,120,2146,162
1400000US25025000601,25025000601,"Census Tract 6.01, Suffolk County, Massachusetts",1215,119,382,69,833,125
1400000US25025000602,25025000602,"Census Tract 6.02, Suffolk County, Massachusetts",1881,94,203,72,1678,102
1400000US25025000701,25025000701,"Census Tract 7.01, Suffolk County, Massachusetts",1781,173,221,66,1560,181
1400000US25025000703,25025000703,"Census Tract 7.03, Suffolk County, Massachusetts",1139,72,16,10,1123,73
1400000US25025000704,25025000704,"Census Tract 7.04, Suffolk County, Massachusetts",2077,135,211,77,1866,151
1400000US25025000802,25025000802,"Census Tract 8.02, Suffolk County, Massachusetts",2608,132,401,120,2207,144
1400000US25025000803,25025000803,"Census Tract 8.03, Suffolk County, Massachusetts",785,79,15,21,770,84
1400000US25025010103,25025010103,"Census Tract 101.03, Suffolk County, Massachusetts",453,47,40,21,413,51
1400000US25025010104,25025010104,"Census Tract 101.04, Suffolk County, Massachusetts",1805,132,492,97,1313,137
1400000US25025010203,25025010203,"Census Tract 102.03, Suffolk County, Massachusetts",3096,191,215,69,2881,197
1400000US25025010204,25025010204,"Census Tract 102.04, Suffolk County, Massachusetts",1001,100,124,53,877,102
1400000US25025010300,25025010300,"Census Tract 103, Suffolk County, Massachusetts",254,57,66,33,188,52
1400000US25025010403,25025010403,"Census Tract 104.03, Suffolk County, Massachusetts",1860,127,37,45,1823,127
1400000US25025010404,25025010404,"Census Tract 104.04, Suffolk County, Massachusetts",1507,134,121,71,1386,137
1400000US25025010405,25025010405,"Census Tract 104.05, Suffolk County, Massachusetts",968,46,61,30,907,50
1400000US25025010408,25025010408,"Census Tract 104.08, Suffolk County, Massachusetts",926,42,129,57,797,63
