,CT_ID_10,NAME10,NAMELSAD10,INTPTLAT10,INTPTLON10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,units,Poccupied,Pvacant,medyrblt,homeownership,ownmedval,prentocc,grossrent,medincome,ppubassis,pfampov,punemploy,GINI,totalpop,propwhite,propblack,propNA,propasian,proppacisl,propother,proptwoplus,prophisp,propimmigrant,popdens,sexratio,punder18,p18to34,p35to64,p65older,Type,Res,BRA_PD,City_Council,WARD,Police_District,Fire_District
1,25025000100,1,Census Tract 1,42.3614845,-71.1385879,19319283.08,443.5097,4254,1707,1681,0.898,0.102,1939,0.246,348200,0.74,1507,53571,0.012,0.079,0.213,0.447,3607,0.673,0.038,0,0.098,0,0.002,0.013,0.176,0.29,5204.673,0.975,0.108,0.386,0.398,0.108,I,0,Allston/Brighton,9,22,14,11
2,25025000201,2.01,Census Tract 2.01,42.3540662,-71.1611678,6451197.13,148.0991,3854,1618,1567,0.867,0.133,1939,0.294,532000,0.664,1585,65506,0.031,0.063,0.025,0.343,3140,0.68,0.039,0,0.092,0,0.012,0.008,0.169,0.251,13568.34,1.24,0.064,0.542,0.299,0.095,R,1,Allston/Brighton,9,22,14,11
3,25025000202,2.02,Census Tract 2.02,42.3526051,-71.1543443,6475526.57,148.6576,3885,1522,1498,0.905,0.095,1939,0.329,432800,0.649,1420,54607,0.055,0.135,0.051,0.358,3664,0.537,0.085,0,0.173,0,0.028,0.005,0.172,0.362,15773.16,1.029,0.134,0.441,0.319,0.106,R,1,Allston/Brighton,9,22,14,11
4,25025000301,3.01,Census Tract 3.01,42.3541442,-71.1688266,6159816.07,141.4099,2740,1219,1243,0.863,0.137,1939,0.437,409700,0.536,1692,89688,0.021,0.12,0.077,0.453,2671,0.822,0.018,0,0.107,0,0,0,0.053,0.152,12087.67,1.151,0.105,0.443,0.319,0.134,R,1,Allston/Brighton,9,22,14,11
5,25025000302,3.02,Census Tract 3.02,42.3472584,-71.1676863,6845240.11,157.1451,3142,1346,1313,0.938,0.062,1958,0.536,322200,0.419,1546,69438,0.023,0.12,0.084,0.428,2989,0.775,0.023,0,0.147,0,0.018,0.003,0.033,0.345,13123.63,1.018,0.112,0.475,0.301,0.112,R,1,Allston/Brighton,9,22,14,11
6,25025000401,4.01,Census Tract 4.01,42.3438495,-71.1492929,4639384.1,106.5056,5672,2965,2892,0.93,0.07,1943,0.128,404500,0.864,1253,35050,0.069,0.147,0.23,0.514,5151,0.673,0.053,0,0.184,0,0.002,0.004,0.085,0.374,30950.57,1.616,0.108,0.497,0.162,0.233,R,1,Allston/Brighton,9,21,14,11
7,25025000402,4.02,Census Tract 4.02,42.3441742,-71.1588288,8683342.13,199.3421,3648,1543,1490,0.948,0.052,1939,0.333,442800,0.65,1616,57064,0.005,0.032,0.036,0.429,3792,0.754,0.018,0,0.174,0,0,0.007,0.047,0.183,12173.6,0.93,0.142,0.54,0.221,0.097,I,0,Allston/Brighton,9,22,14,11
8,25025000502,5.02,Census Tract 5.02,42.3315048,-71.1574973,12898832.45,296.1164,6303,2041,1973,0.867,0.133,1939,0.172,322800,0.828,1466,43064,0.025,0.144,0.058,0.404,5093,0.726,0.021,0,0.137,0.001,0,0.016,0.098,0.139,15269.1,1.413,0.019,0.787,0.134,0.06,P,0,Allston/Brighton,9,21,14,11
9,25025000503,5.03,Census Tract 5.03,42.339636,-71.1500992,1497746.66,34.3835,2211,1408,1322,0.895,0.105,1939,0.256,241700,0.665,1557,56349,0.037,0.122,0.049,0.341,1859,0.783,0.014,0,0.103,0,0,0.038,0.062,0.188,34599.93,1.671,0.008,0.748,0.165,0.079,R,1,Allston/Brighton,9,21,14,11
10,25025000504,5.04,Census Tract 5.04,42.3414718,-71.1438264,3586159.72,82.3269,4985,2726,3000,0.904,0.096,1939,0.149,316400,0.839,1413,36339,0.014,0.15,0.076,0.52,4635,0.737,0.046,0.008,0.122,0,0.006,0.027,0.054,0.285,36029.6,1.33,0.008,0.63,0.182,0.181,R,1,Allston/Brighton,9,21,14,11
