GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2010 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2010 inflation-adjusted dollars)
1400000US25025000100,25025000100,"Census Tract 1, Suffolk County, Massachusetts",55179,6282
1400000US25025000201,25025000201,"Census Tract 2.01, Suffolk County, Massachusetts",68010,4442
1400000US25025000202,25025000202,"Census Tract 2.02, Suffolk County, Massachusetts",54151,16721
1400000US25025000301,25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",87230,9018
1400000US25025000302,25025000302,"Census Tract 3.02, Suffolk County, Massachusetts",83357,19037
1400000US25025000401,25025000401,"Census Tract 4.01, Suffolk County, Massachusetts",42136,8699
1400000US25025000402,25025000402,"Census Tract 4.02, Suffolk County, Massachusetts",57530,9698
1400000US25025000502,25025000502,"Census Tract 5.02, Suffolk County, Massachusetts",51875,7217
1400000US25025000503,25025000503,"Census Tract 5.03, Suffolk County, Massachusetts",62083,10582
1400000US25025000504,25025000504,"Census Tract 5.04, Suffolk County, Massachusetts",39452,6600
1400000US25025000601,25025000601,"Census Tract 6.01, Suffolk County, Massachusetts",60343,7556
1400000US25025000602,25025000602,"Census Tract 6.02, Suffolk County, Massachusetts",25476,9934
1400000US25025000701,25025000701,"Census Tract 7.01, Suffolk County, Massachusetts",53083,13509
1400000US25025000703,25025000703,"Census Tract 7.03, Suffolk County, Massachusetts",19299,8828
1400000US25025000704,25025000704,"Census Tract 7.04, Suffolk County, Massachusetts",41606,4051
1400000US25025000802,25025000802,"Census Tract 8.02, Suffolk County, Massachusetts",36734,6532
1400000US25025000803,25025000803,"Census Tract 8.03, Suffolk County, Massachusetts",23429,4753
1400000US25025010103,25025010103,"Census Tract 101.03, Suffolk County, Massachusetts",16210,12621
1400000US25025010104,25025010104,"Census Tract 101.04, Suffolk County, Massachusetts",35262,12584
1400000US25025010203,25025010203,"Census Tract 102.03, Suffolk County, Massachusetts",35906,7302
1400000US25025010204,25025010204,"Census Tract 102.04, Suffolk County, Massachusetts",35023,8301
1400000US25025010300,25025010300,"Census Tract 103, Suffolk County, Massachusetts",26397,6891
1400000US25025010403,25025010403,"Census Tract 104.03, Suffolk County, Massachusetts",20365,7454
1400000US25025010404,25025010404,"Census Tract 104.04, Suffolk County, Massachusetts",17965,13732
1400000US25025010405,25025010405,"Census Tract 104.05, Suffolk County, Massachusetts",14188,2473
1400000US25025010408,25025010408,"Census Tract 104.08, Suffolk County, Massachusetts",44492,4328
1400000US25025010500,25025010500,"Census Tract 105, Suffolk County, Massachusetts",36017,10488
1400000US25025010600,25025010600,"Census Tract 106, Suffolk County, Massachusetts",68080,10050
1400000US25025010701,25025010701,"Census Tract 107.01, Suffolk County, Massachusetts",88438,21551
1400000US25025010702,25025010702,"Census Tract 107.02, Suffolk County, Massachusetts",91071,18314
1400000US25025010801,25025010801,"Census Tract 108.01, Suffolk County, Massachusetts",112284,52187
1400000US25025010802,25025010802,"Census Tract 108.02, Suffolk County, Massachusetts",85362,23541
