GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent as a percentage of household income,Margin of Error; Median gross rent as a percentage of household income
1400000US25025000100,25025000100,"Census Tract 1, Suffolk County, Massachusetts",31.7,8.8
1400000US25025000201,25025000201,"Census Tract 2.01, Suffolk County, Massachusetts",25.4,2.0
1400000US25025000202,25025000202,"Census Tract 2.02, Suffolk County, Massachusetts",24.3,5.3
1400000US25025000301,25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",21.5,2.9
1400000US25025000302,25025000302,"Census Tract 3.02, Suffolk County, Massachusetts",22.1,6.7
1400000US25025000401,25025000401,"Census Tract 4.01, Suffolk County, Massachusetts",28.5,1.4
1400000US25025000402,25025000402,"Census Tract 4.02, Suffolk County, Massachusetts",41.7,8.3
1400000US25025000502,25025000502,"Census Tract 5.02, Suffolk County, Massachusetts",33.5,5.8
1400000US25025000503,25025000503,"Census Tract 5.03, Suffolk County, Massachusetts",28.3,10.0
1400000US25025000504,25025000504,"Census Tract 5.04, Suffolk County, Massachusetts",34.7,4.9
1400000US25025000601,25025000601,"Census Tract 6.01, Suffolk County, Massachusetts",27.5,4.2
1400000US25025000602,25025000602,"Census Tract 6.02, Suffolk County, Massachusetts",29.4,1.8
1400000US25025000701,25025000701,"Census Tract 7.01, Suffolk County, Massachusetts",32.7,3.3
1400000US25025000703,25025000703,"Census Tract 7.03, Suffolk County, Massachusetts",50.0+,***
1400000US25025000704,25025000704,"Census Tract 7.04, Suffolk County, Massachusetts",35.5,4.0
1400000US25025000802,25025000802,"Census Tract 8.02, Suffolk County, Massachusetts",43.9,8.2
1400000US25025000803,25025000803,"Census Tract 8.03, Suffolk County, Massachusetts",46.6,15.6
1400000US25025010103,25025010103,"Census Tract 101.03, Suffolk County, Massachusetts",50.0+,***
1400000US25025010104,25025010104,"Census Tract 101.04, Suffolk County, Massachusetts",39.2,6.3
1400000US25025010203,25025010203,"Census Tract 102.03, Suffolk County, Massachusetts",44.9,7.8
1400000US25025010204,25025010204,"Census Tract 102.04, Suffolk County, Massachusetts",50.0+,***
1400000US25025010300,25025010300,"Census Tract 103, Suffolk County, Massachusetts",50.0+,***
1400000US25025010403,25025010403,"Census Tract 104.03, Suffolk County, Massachusetts",47.9,9.4
1400000US25025010404,25025010404,"Census Tract 104.04, Suffolk County, Massachusetts",50.0+,***
1400000US25025010405,25025010405,"Census Tract 104.05, Suffolk County, Massachusetts",31.8,3.2
